date,max_temp,min_temp
2026-07-19,22.3,12.5
2026-07-20,20.1,11.4
2026-07-21,23.4,10.8
2026-07-22,23.7,10.4
2026-07-23,25.0,10.4
2026-07-24,25.3,10.8
2026-07-25,24.9,10.5
